Date,Close,wsize_5,wsize_6,wsize_7,wsize_8,wsize_9,wsize_10,wsize_11,wsize_12,wsize_13,wsize_14
2008-10-17,12.956,40,50,42.857,50,44.444,50,45.455,41.667,38.462,42.857
2008-10-20,13.094,40,50,57.143,50,55.556,50,54.545,50,46.154,42.857
2008-10-21,12.17,40,33.333,42.857,50,44.444,50,45.455,50,46.154,42.857
2008-10-22,12.885,60,50,42.857,50,55.556,50,54.545,50,53.846,50
2008-10-23,13.066,60,66.667,57.143,50,55.556,60,54.545,58.333,53.846,57.143
2008-10-24,12.82,60,50,57.143,50,44.444,50,54.545,50,53.846,50
2008-10-27,12.249,40,50,42.857,50,44.444,40,45.455,50,46.154,50
2008-10-28,13.29,60,50,57.143,50,55.556,50,45.455,50,53.846,50
2008-10-29,13.907,60,66.667,57.143,62.5,55.556,60,54.545,50,53.846,57.143
2008-10-30,14.77,60,66.667,71.429,62.5,66.667,60,63.636,58.333,53.846,57.143
2008-10-31,14.311,60,50,57.143,62.5,55.556,60,54.545,58.333,53.846,50
2008-11-03,14.227,60,50,42.857,50,55.556,50,54.545,50,53.846,50
2008-11-04,14.763,60,66.667,57.143,50,55.556,60,54.545,58.333,53.846,57.143
2008-11-05,13.741,40,50,57.143,50,44.444,50,54.545,50,53.846,50
2008-11-06,13.182,20,33.333,42.857,50,44.444,40,45.455,50,46.154,50
2008-11-07,13.068,20,16.667,28.571,37.5,44.444,40,36.364,41.667,46.154,42.857
2008-11-10,12.754,20,16.667,14.286,25,33.333,40,36.364,33.333,38.462,42.857
2008-11-11,12.606,0,16.667,14.286,12.5,22.222,30,36.364,33.333,30.769,35.714
2008-11-12,11.987,0,0,14.286,12.5,11.111,20,27.273,33.333,30.769,28.571
2008-11-13,12.828,20,16.667,14.286,25,22.222,20,27.273,33.333,38.462,35.714
2008-11-14,12.003,20,16.667,14.286,12.5,22.222,20,18.182,25,30.769,35.714
2008-11-17,11.724,20,16.667,14.286,12.5,11.111,20,18.182,16.667,23.077,28.571
2008-11-18,11.96,40,33.333,28.571,25,22.222,20,27.273,25,23.077,28.571
2008-11-19,11.478,40,33.333,28.571,25,22.222,20,18.182,25,23.077,21.429
2008-11-20,10.706,20,33.333,28.571,25,22.222,20,18.182,16.667,23.077,21.429
2008-11-21,10.984,40,33.333,42.857,37.5,33.333,30,27.273,25,23.077,28.571
2008-11-24,12.364,60,50,42.857,50,44.444,40,36.364,33.333,30.769,28.571
2008-11-25,12.078,40,50,42.857,37.5,44.444,40,36.364,33.333,30.769,28.571
2008-11-26,12.637,60,50,57.143,50,44.444,50,45.455,41.667,38.462,35.714
2008-11-28,12.327,60,50,42.857,50,44.444,40,45.455,41.667,38.462,35.714
2008-12-01,11.829,40,50,42.857,37.5,44.444,40,36.364,41.667,38.462,35.714
2008-12-02,12.3,40,50,57.143,50,44.444,50,45.455,41.667,46.154,42.857
2008-12-03,12.756,60,50,57.143,62.5,55.556,50,54.545,50,46.154,50
2008-12-04,12.159,40,50,42.857,50,55.556,50,45.455,50,46.154,42.857
2008-12-05,12.504,60,50,57.143,50,55.556,60,54.545,50,53.846,50
2008-12-08,13.264,80,66.667,57.143,62.5,55.556,60,63.636,58.333,53.846,57.143
2008-12-09,13.31,80,83.333,71.429,62.5,66.667,60,63.636,66.667,61.538,57.143
2008-12-10,13.064,60,66.667,71.429,62.5,55.556,60,54.545,58.333,61.538,57.143
2008-12-11,12.637,60,50,57.143,62.5,55.556,50,54.545,50,53.846,57.143
2008-12-12,13.072,60,66.667,57.143,62.5,66.667,60,54.545,58.333,53.846,57.143
2008-12-15,12.603,40,50,57.143,50,55.556,60,54.545,50,53.846,50
2008-12-16,12.694,40,50,57.143,62.5,55.556,60,63.636,58.333,53.846,57.143
2008-12-17,11.86,40,33.333,42.857,50,55.556,50,54.545,58.333,53.846,50
2008-12-18,11.896,60,50,42.857,50,55.556,60,54.545,58.333,61.538,57.143
2008-12-19,11.971,60,66.667,57.143,50,55.556,60,63.636,58.333,61.538,64.286
2008-12-22,11.405,60,50,57.143,50,44.444,50,54.545,58.333,53.846,57.143
2008-12-23,11.49,60,66.667,57.143,62.5,55.556,50,54.545,58.333,61.538,57.143
2008-12-24,11.312,60,50,57.143,50,55.556,50,45.455,50,53.846,57.143
2008-12-26,11.414,60,66.667,57.143,62.5,55.556,60,54.545,50,53.846,57.143
2008-12-29,11.521,60,66.667,71.429,62.5,66.667,60,63.636,58.333,53.846,57.143
2008-12-30,11.478,60,50,57.143,62.5,55.556,60,54.545,58.333,53.846,50
2008-12-31,11.353,40,50,42.857,50,55.556,50,54.545,50,53.846,50
2009-01-02,12.071,60,50,57.143,50,55.556,60,54.545,58.333,53.846,57.143
2009-01-05,12.581,60,66.667,57.143,62.5,55.556,60,63.636,58.333,61.538,57.143
2009-01-06,12.373,40,50,57.143,50,55.556,50,54.545,58.333,53.846,57.143
2009-01-07,12.106,40,33.333,42.857,50,44.444,50,45.455,50,53.846,50
2009-01-08,12.331,60,50,42.857,50,55.556,50,54.545,50,53.846,57.143
2009-01-09,12.049,40,50,42.857,37.5,44.444,50,45.455,50,46.154,50
2009-01-12,11.793,20,33.333,42.857,37.5,33.333,40,45.455,41.667,46.154,42.857
2009-01-13,11.667,20,16.667,28.571,37.5,33.333,30,36.364,41.667,38.462,42.857
2009-01-14,11.35,20,16.667,14.286,25,33.333,30,27.273,33.333,38.462,35.714
2009-01-15,11.091,0,16.667,14.286,12.5,22.222,30,27.273,25,30.769,35.714
2009-01-16,10.951,0,0,14.286,12.5,11.111,20,27.273,25,23.077,28.571
2009-01-20,10.402,0,0,0,12.5,11.111,10,18.182,25,23.077,21.429
2009-01-21,11.018,20,16.667,14.286,12.5,22.222,20,18.182,25,30.769,28.571
2009-01-22,11.753,40,33.333,28.571,25,22.222,30,27.273,25,30.769,35.714
2009-01-23,11.753,40,33.333,28.571,25,22.222,20,27.273,25,23.077,28.571
2009-01-26,11.924,60,50,42.857,37.5,33.333,30,27.273,33.333,30.769,28.571
2009-01-27,12.069,80,66.667,57.143,50,44.444,40,36.364,33.333,38.462,35.714
2009-01-28,12.53,80,83.333,71.429,62.5,55.556,50,45.455,41.667,38.462,42.857
2009-01-29,12.371,60,66.667,71.429,62.5,55.556,50,45.455,41.667,38.462,35.714
2009-01-30,11.989,60,50,57.143,62.5,55.556,50,45.455,41.667,38.462,35.714
2009-02-02,12.172,60,66.667,57.143,62.5,66.667,60,54.545,50,46.154,42.857
2009-02-03,12.368,60,66.667,71.429,62.5,66.667,70,63.636,58.333,53.846,50
2009-02-04,12.444,60,66.667,71.429,75,66.667,70,72.727,66.667,61.538,57.143
2009-02-05,12.831,80,66.667,71.429,75,77.778,70,72.727,75,69.231,64.286
2009-02-06,13.264,100,83.333,71.429,75,77.778,80,72.727,75,76.923,71.429
2009-02-09,13.636,100,100,85.714,75,77.778,80,81.818,75,76.923,78.571
2009-02-10,13.013,80,83.333,85.714,75,66.667,70,72.727,75,69.231,71.429
2009-02-11,12.879,60,66.667,71.429,75,66.667,60,63.636,66.667,69.231,64.286
2009-02-12,13.205,60,66.667,71.429,75,77.778,70,63.636,66.667,69.231,71.429
2009-02-13,13.19,40,50,57.143,62.5,66.667,70,63.636,58.333,61.538,64.286
2009-02-17,12.574,20,33.333,42.857,50,55.556,60,63.636,58.333,53.846,57.143
2009-02-18,12.553,20,16.667,28.571,37.5,44.444,50,54.545,58.333,53.846,50
2009-02-19,12.057,20,16.667,14.286,25,33.333,40,45.455,50,53.846,50
2009-02-20,12.131,20,33.333,28.571,25,33.333,40,45.455,50,53.846,57.143
2009-02-23,11.566,20,16.667,28.571,25,22.222,30,36.364,41.667,46.154,50
2009-02-24,12.005,40,33.333,28.571,37.5,33.333,30,36.364,41.667,46.154,50
2009-02-25,12.126,60,50,42.857,37.5,44.444,40,36.364,41.667,46.154,50
2009-02-26,11.864,60,50,42.857,37.5,33.333,40,36.364,33.333,38.462,42.857
2009-02-27,11.88,60,66.667,57.143,50,44.444,40,45.455,41.667,38.462,42.857
2009-03-02,11.697,60,50,57.143,50,44.444,40,36.364,41.667,38.462,35.714
2009-03-03,11.755,60,66.667,57.143,62.5,55.556,50,45.455,41.667,46.154,42.857
2009-03-04,12.127,60,66.667,71.429,62.5,66.667,60,54.545,50,46.154,50
2009-03-05,11.817,60,50,57.143,62.5,55.556,60,54.545,50,46.154,42.857
2009-03-06,11.346,40,50,42.857,50,55.556,50,54.545,50,46.154,42.857
